
# RS Material-----------------------------------------------------------

REDSHIFT_SHADER_MATERIAL_SHEEN_ROUGHNESS 10162
REDSHIFT_SHADER_MATERIAL_SHEEN_SAMPLES 10163
REDSHIFT_SHADER_MATERIAL_SHEEN_WEIGHT 10161
REDSHIFT_SHADER_MATERIAL_SKIP_INSIDE_REFL 10068
REDSHIFT_SHADER_MATERIAL_SS_AMOUNT 10029
REDSHIFT_SHADER_MATERIAL_SS_EXTINCTION_COEFF 10115
REDSHIFT_SHADER_MATERIAL_SS_EXTINCTION_SCALE 10116
REDSHIFT_SHADER_MATERIAL_SS_PHASE 10030
REDSHIFT_SHADER_MATERIAL_SS_SAMPLES 10031
REDSHIFT_SHADER_MATERIAL_SS_SCATTER_COEFF 10117
REDSHIFT_SHADER_MATERIAL_SS_UNITSMODE 10113
REDSHIFT_SHADER_MATERIAL_TRANSL_COLOR 10003
REDSHIFT_SHADER_MATERIAL_TRANSL_WEIGHT 10004



# RS Standard Material-----------------------------------------------------------

REDSHIFT_SHADER_STANDARDMATERIAL_AFFECTS_ALPHA 10065
REDSHIFT_SHADER_STANDARDMATERIAL_ANISOTROPY_ORIENTATION 10074
REDSHIFT_SHADER_STANDARDMATERIAL_ANISOTROPY_TANGENTCHANNEL 10076
REDSHIFT_SHADER_STANDARDMATERIAL_ANISOTROPY_UVCHANNEL 10075
REDSHIFT_SHADER_STANDARDMATERIAL_BASE_COLOR 10000
REDSHIFT_SHADER_STANDARDMATERIAL_BASE_COLOR_WEIGHT 10001
REDSHIFT_SHADER_STANDARDMATERIAL_BLOCK_VOLUMES 10066
REDSHIFT_SHADER_STANDARDMATERIAL_BUMP_INPUT 10046
REDSHIFT_SHADER_STANDARDMATERIAL_COAT_ANISO 10038
REDSHIFT_SHADER_STANDARDMATERIAL_COAT_ANISO_ROTATION 10039
REDSHIFT_SHADER_STANDARDMATERIAL_COAT_BUMP_INPUT 10041
REDSHIFT_SHADER_STANDARDMATERIAL_COAT_COLOR 10034
REDSHIFT_SHADER_STANDARDMATERIAL_COAT_DIRECT 10070
REDSHIFT_SHADER_STANDARDMATERIAL_COAT_INDIRECT 10071
REDSHIFT_SHADER_STANDARDMATERIAL_COAT_IOR 10037
REDSHIFT_SHADER_STANDARDMATERIAL_COAT_ISGLOSSINESS 10072
REDSHIFT_SHADER_STANDARDMATERIAL_COAT_ROUGHNESS 10036
REDSHIFT_SHADER_STANDARDMATERIAL_COAT_SAMPLES 10040
REDSHIFT_SHADER_STANDARDMATERIAL_COAT_WEIGHT 10035
REDSHIFT_SHADER_STANDARDMATERIAL_COMBINED_DEPTH 10056
REDSHIFT_SHADER_STANDARDMATERIAL_DEPTH_OVERRIDE 10049
REDSHIFT_SHADER_STANDARDMATERIAL_DIFFUSE_DIRECT 10057
REDSHIFT_SHADER_STANDARDMATERIAL_DIFFUSE_INDIRECT 10058
REDSHIFT_SHADER_STANDARDMATERIAL_DIFFUSE_MODEL 10002
REDSHIFT_SHADER_STANDARDMATERIAL_DIFFUSE_ROUGHNESS 10003
REDSHIFT_SHADER_STANDARDMATERIAL_EMISSION_COLOR 10042
REDSHIFT_SHADER_STANDARDMATERIAL_EMISSION_WEIGHT 10043
REDSHIFT_SHADER_STANDARDMATERIAL_METALNESS 10004
REDSHIFT_SHADER_STANDARDMATERIAL_MS_AMOUNT 10022
REDSHIFT_SHADER_STANDARDMATERIAL_MS_COLOR 10021
REDSHIFT_SHADER_STANDARDMATERIAL_MS_INCLUDE_MODE 10027
REDSHIFT_SHADER_STANDARDMATERIAL_MS_MODE 10025
REDSHIFT_SHADER_STANDARDMATERIAL_MS_PHASE 10080
REDSHIFT_SHADER_STANDARDMATERIAL_MS_RADIUS 10023
REDSHIFT_SHADER_STANDARDMATERIAL_MS_RADIUS_SCALE 10024
REDSHIFT_SHADER_STANDARDMATERIAL_MS_SAMPLES 10026
REDSHIFT_SHADER_STANDARDMATERIAL_OPACITY_COLOR 10044
REDSHIFT_SHADER_STANDARDMATERIAL_OVERALLAFFECTSEMISSION 10048
REDSHIFT_SHADER_STANDARDMATERIAL_OVERALL_COLOR 10047
REDSHIFT_SHADER_STANDARDMATERIAL_REFL_ANISO 10009
REDSHIFT_SHADER_STANDARDMATERIAL_REFL_ANISO_ROTATION 10010
REDSHIFT_SHADER_STANDARDMATERIAL_REFL_COLOR 10005
REDSHIFT_SHADER_STANDARDMATERIAL_REFL_CUTOFF 10052
REDSHIFT_SHADER_STANDARDMATERIAL_REFL_DEPTH 10050
REDSHIFT_SHADER_STANDARDMATERIAL_REFL_DIRECT 10059
REDSHIFT_SHADER_STANDARDMATERIAL_REFL_ENABLECUTOFF 10051
REDSHIFT_SHADER_STANDARDMATERIAL_REFL_ENABLEMULTISCATTERCOMP 10073
REDSHIFT_SHADER_STANDARDMATERIAL_REFL_ENDMODE 10062
REDSHIFT_SHADER_STANDARDMATERIAL_REFL_INDIRECT 10060
REDSHIFT_SHADER_STANDARDMATERIAL_REFL_IOR 10008
REDSHIFT_SHADER_STANDARDMATERIAL_REFL_ISGLOSSINESS 10061
REDSHIFT_SHADER_STANDARDMATERIAL_REFL_ROUGHNESS 10007
REDSHIFT_SHADER_STANDARDMATERIAL_REFL_SAMPLES 10011
REDSHIFT_SHADER_STANDARDMATERIAL_REFL_WEIGHT 10006
REDSHIFT_SHADER_STANDARDMATERIAL_REFR_ABBE 10020
REDSHIFT_SHADER_STANDARDMATERIAL_REFR_COLOR 10012
REDSHIFT_SHADER_STANDARDMATERIAL_REFR_CUTOFF 10055
REDSHIFT_SHADER_STANDARDMATERIAL_REFR_DEPTH 10053
REDSHIFT_SHADER_STANDARDMATERIAL_REFR_ENABLECUTOFF 10054
REDSHIFT_SHADER_STANDARDMATERIAL_REFR_ISGLOSSINESS 10064
REDSHIFT_SHADER_STANDARDMATERIAL_REFR_ROUGHNESS 10014
REDSHIFT_SHADER_STANDARDMATERIAL_REFR_SAMPLES 10015
REDSHIFT_SHADER_STANDARDMATERIAL_REFR_THIN_WALLED 10045
REDSHIFT_SHADER_STANDARDMATERIAL_REFR_WEIGHT 10013
REDSHIFT_SHADER_STANDARDMATERIAL_SHADOW_AFFECTED_BY_FRESNEL_MODE 10081
REDSHIFT_SHADER_STANDARDMATERIAL_SHADOW_OPACITY 10063
REDSHIFT_SHADER_STANDARDMATERIAL_SHEEN_COLOR 10028
REDSHIFT_SHADER_STANDARDMATERIAL_SHEEN_DIRECT 10067
REDSHIFT_SHADER_STANDARDMATERIAL_SHEEN_INDIRECT 10068
REDSHIFT_SHADER_STANDARDMATERIAL_SHEEN_ISGLOSSINESS 10069
REDSHIFT_SHADER_STANDARDMATERIAL_SHEEN_ROUGHNESS 10030
REDSHIFT_SHADER_STANDARDMATERIAL_SHEEN_SAMPLES 10031
REDSHIFT_SHADER_STANDARDMATERIAL_SHEEN_WEIGHT 10029
REDSHIFT_SHADER_STANDARDMATERIAL_SS_DEPTH 10016
REDSHIFT_SHADER_STANDARDMATERIAL_SS_PHASE 10018
REDSHIFT_SHADER_STANDARDMATERIAL_SS_SAMPLES 10019
REDSHIFT_SHADER_STANDARDMATERIAL_SS_SCATTER_COLOR 10017
REDSHIFT_SHADER_STANDARDMATERIAL_THINFILM_IOR 10032
REDSHIFT_SHADER_STANDARDMATERIAL_THINFILM_THICKNESS 10033
